keyword,count
gene fusion network,1
modeling,4
aminoacyl-tRNA synthetases,1
Central nervous system,1
Iran,1
trigeminal nerve volume,8
microperfusion,1
TGF,3
Gene expression,3
MEFV,4
pig,1
cancer stem cell,8
C57BL/6 mice,8
coixol,4
cell viability,4
Xenopus laevis,4
Temperature,1
stereotactic radiosurgery,8
tumor promoter,3
protection of telomeres 1 (POT1),1
Survival prognosis,4
sensory-dominant CMT,1
neuropharmaco-logical,1
Tropomyosin receptor kinase,2
Differentially expressed genes,3
Haemophagocytic lymphohistiocytosis,1
axons,2
Drug screening,4
TrkA,2
UNC13D,2
Mutation,1
plasmin,3
Allele-specific copy number,3
Extracellular matrix,3
column scatter plot,1
EMT,3
amino acid substitution,3
intestinal health,1
B16-F10,8
Cardiomyocytes,1
Caffeine Intake,1
HR = hazard ratio,8
Simulations,8
Glycated haemoglobin,1
Non-cholesterol sterol,1
Haidinger's brushes,4
Akt PKB,4
translation initiation frequency,4
flecainid test,4
ray-finned fishes,1
Extracellular Matrix,3
peptide vaccination,3
megakaryocytes,1
familial hemophagocytic lymphohistiocytosis,1
expression,1
human polarization vision,4
cytotoxic T lymphocytes,4
Munc13-4,1
Database,8
Rapamycin,1
Non-small cell lung carcinoma,3
Single-subject,8
computer simulation,4
mutation,2
Metabolomics,2
Cardiac arrhythmic syndromes,4
gene targeting,4
prognosis factor,1
C2 domains,1
3,4 diaminopyridine,2
USP1 protein,8
mannosylated liposomes,4
WDR48 protein,8
Nemaline (rod) myopathy,1
hemophagocytic lymphohistiocytosis,2
Na+ Channels,4
time to antibiotics,8
Thyroid nodules,4
(68)Ga,4
Urolithiasis,1
phosphorylated adaptor for RNA export,1
Prp8,1
PRF1,1
Rho,4
NTRK1-3,1
Rhodamine 123 (PubChem CID 65217),4
Mesenchyme,3
Intracranial aneurysm,4
Nephrolithiasis,1
Long-QT syndrome,1
Proliferation,7
TGFBI,3
Bile acid transport/absorption,1
dUTPase,1
Web browser interface,8
Cancer,4
Probabilistic Neural Network (PNN),8
Paramyotonia congenita,4
network analysis,3
CTGF,4
WPAIA,4
KB220Z,1
Oculorenal syndrome,3
depression,1
precision medicine,1
Macrophages,3
4E-BP1, eukaryotic translation initiation factor 4E (eIF4e)-binding protein 1,1
cystine reabsorption,1
TrkB,2
&lt;i&gt;SLC7A9&lt;/i&gt;,1
program death ligand 1 receptor,4
Vandetanib,1
Echocardiography,1
Sodium channels,4
NaV1.5,4
microtubules,4
Inherited channelopathies,4
Arrhythmias,4
bHLH factor,3
Papillary thyroid carcinoma,1
Ars2,1
protein disulfide isomerases,1
cytokines,4
transforming growth factor beta-induce,1
Charcot arthropathy,1
Twist1,3
Smad2/3,4
Cardiomyocyte conduction,4
family,8
support vector machine,1
arrhythmias,4
Gut peptides,1
Positron emission tomography,4
EAA, essential amino acid,1
RYR1,5
congenital indifference to pain,1
Cystinuria,4
retinitis pigmentosa,1
Genetics,4
Centralspindlin,4
atherosclerosis,4
heterozygous P482L mutation,1
breast cancer 1 associated protein 1 (BAP1),1
Ultrasound,4
Protein kinase C,1
tRNA synthetase,2
Confocal microscopy,1
kinase domain retention,1
transcription termination,4
ARIA,4
68Ga-NODAGA-PCA,4
Interdigitating dendritic cell sarcoma,8
Korea,1
RNA drug discovery,1
IFS,1
SCN5A channelopathies,1
SON-R 6-40,8
Hepatosplenomegaly,1
severe sepsis,8
Photoreceptor,1
GPVI collagen receptor,1
collagen synthesis,4
targeted therapy,2
CDKN2A,1
Ultrastable,4
social connections,8
Drug delivery,8
sperm viability,4
Extracellular matrix-cell interaction,3
Phenotype,1
Charcot–Marie–Tooth 2D,,2
Brugada-Syndrom,4
Molecular targeted therapy,1
Thyroid carcinoma,1
GARS,3
Feature selection and classification,8
lamellipodia,1
SxIP motif,4
aminoacyl-tRNA synthetase,2
Type 1 iodothyronine deiodinase,3
GLP-1,1
Spanish validation,4
corneal dystrophy,1
Renal cancer,3
CRISPR/SpCas9 plasmids,1
JSI-124,4
CI = confidence interval,8
electrophysiology,2
AA, amino acid,1
tumour microenvironment,3
SLC7A9 Gene,1
Painless fractures,1
cytokinetic ring,1
Amino acid absorption,1
Keratocyte,3
Congenital insensitivity to pain with anhidrosis,2
ADHD-attention deficit hyperactivity disorder,1
Prediction analysis for microarrays,3
Light damage,1
Brugada syndrome,10
ROCK, Rho-associated protein kinase,1
adlay,4
In silico prediction,4
Cytopenia,1
Viking navigation,4
αCOP,1
SMN,1
Questionnaire,4
snRNP biogenesis,1
TrkC,2
cerebral atrophy,1
TGF-β signaling,3
Hammerhead ribozyme,1
Retina,1
BRM,4
cardiovascular models,4
ADF, Actin depolymerizing factor,1
blood platelets,1
FMRP,1
cancer,12
neuroimaging,1
Intrusion Detection Systems (IDSs),8
vinculin,4
Impact factor,8
Novel mutation,3
actin cytoskeleton,1
IL24,4
virus,4
Positron Emission Tomography, Procainamide.,4
Fusion,1
Transforming growth factor-β-induced gene,3
Sedentary lifestyle,4
Abdominal dermis fat graft,8
Outward rectifying current,4
Cytokines,1
cystinuria,2
neuromuscular disease,1
EECs, enteroendocrine cells,1
alternative splicing,1
Older persons,8
Transforming growth factor induced gene,3
genetic defects,1
Kidney stones,1
Sciatic nerve,2
ID = integral dose,8
bodyweight,1
immunity,4
SCN5a,1
Overlap syndrome,4
Genetic,1
Vision,1
ENS, enteric nervous system,1
macrophage,4
Poaceae,4
child,1
Late sodium current,4
autism,1
melanoma susceptibility,1
Polymeric micelles,4
Natural killer cells,1
sinoatrial node,4
IDS,8
lung metastasis,4
validity,8
HSAN-IV,1
China,1
cystinuria type B,1
lysosomal degranulation defect,1
annexin A2,3
Caco-2 cells,4
Pro-Dopamine regulation (KB220 variants) Reward Deficiency Solution Sustem,1
ATF6,1
LC-MS/MS, liquid chromatography triple quadrupole mass spectrometry,1
hematopoietic stem cell transplantation,1
beta sheet propensity,3
Gene ontology,3
BBMV, brush border membrane vesicles,1
spinal muscular atrophy,1
Corneal Dystrophy,3
CKD,1
SMA,1
PHAX,1
Pharmacologic therapy,1
sarcoma,1
Interferon-γ,1
ECG,4
Renal calculi,1
neurodevelopment,1
motor neuropathy,2
Coiling,4
STAT3 inhibitor,4
Chinese,1
Familial HLH,1
SWI/SNF,4
snRNA,1
